zip,Zipcode name,City,State,County Name
97444,"GOLD BEACH, OR",GOLD BEACH,OR,CURRY
97525,"GOLD HILL, OR",GOLD HILL,OR,JACKSON
97028,"GOVERNMENT CAMP, OR",GOVERNMENT CAMP,OR,CLACKAMAS
97347,"GRAND RONDE, OR",GRAND RONDE,OR,POLK
97526,"GRANTS PASS, OR",GRANTS PASS,OR,JOSEPHINE
97527,"GRANTS PASS, OR",GRANTS PASS,OR,JOSEPHINE
97528,"GRANTS PASS, OR",GRANTS PASS,OR,JOSEPHINE
97029,"GRASS VALLEY, OR",GRASS VALLEY,OR,SHERMAN
97030,"GRESHAM, OR",GRESHAM,OR,MULTNOMAH
97080,"GRESHAM, OR",GRESHAM,OR,MULTNOMAH
97833,"HAINES, OR",HAINES,OR,BAKER
97834,"HALFWAY, OR",HALFWAY,OR,BAKER
97348,"HALSEY, OR",HALSEY,OR,LINN
97121,"HAMMOND, OR",HAMMOND,OR,CLATSOP
97086,"HAPPY VALLEY, OR",HAPPY VALLEY,OR,CLACKAMAS
97446,"HARRISBURG, OR",HARRISBURG,OR,LINN
97122,"HEBO, OR",HEBO,OR,TILLAMOOK
97835,"HELIX, OR",HELIX,OR,UMATILLA
97836,"HEPPNER, OR",HEPPNER,OR,MORROW
97837,"HEREFORD, OR",HEREFORD,OR,BAKER
97838,"HERMISTON, OR",HERMISTON,OR,UMATILLA
97123,"HILLSBORO, OR",HILLSBORO,OR,WASHINGTON
97124,"HILLSBORO, OR",HILLSBORO,OR,WASHINGTON
97738,"HINES, OR",HINES,OR,HARNEY
97031,"HOOD RIVER, OR",HOOD RIVER,OR,HOOD RIVER
97032,"HUBBARD, OR",HUBBARD,OR,MARION
97907,"HUNTINGTON, OR",HUNTINGTON,OR,BAKER
97350,"IDANHA, OR",IDANHA,OR,MARION
97447,"IDLEYLD PARK, OR",IDLEYLD PARK,OR,DOUGLAS
97841,"IMBLER, OR",IMBLER,OR,UNION
97842,"IMNAHA, OR",IMNAHA,OR,WALLOWA
97351,"INDEPENDENCE, OR",INDEPENDENCE,OR,POLK
97843,"IONE, OR",IONE,OR,MORROW
97844,"IRRIGON, OR",IRRIGON,OR,MORROW
97530,"JACKSONVILLE, OR",JACKSONVILLE,OR,JACKSON
97909,"JAMIESON, OR",JAMIESON,OR,MALHEUR
97352,"JEFFERSON, OR",JEFFERSON,OR,MARION
97845,"JOHN DAY, OR",JOHN DAY,OR,GRANT
97910,"JORDAN VALLEY, OR",JORDAN VALLEY,OR,MALHEUR
97846,"JOSEPH, OR",JOSEPH,OR,WALLOWA
97448,"JUNCTION CITY, OR",JUNCTION CITY,OR,LANE
97911,"JUNTURA, OR",JUNTURA,OR,MALHEUR
97307,"KEIZER, OR",KEIZER,OR,MARION
97627,"KENO, OR",KENO,OR,KLAMATH
97033,"KENT, OR",KENT,OR,SHERMAN
97531,"KERBY, OR",KERBY,OR,JOSEPHINE
97848,"KIMBERLY, OR",KIMBERLY,OR,GRANT
97601,"KLAMATH FALLS, OR",KLAMATH FALLS,OR,KLAMATH
97602,"KLAMATH FALLS, OR",KLAMATH FALLS,OR,KLAMATH
97603,"KLAMATH FALLS, OR",KLAMATH FALLS,OR,KLAMATH
97850,"LA GRANDE, OR",LA GRANDE,OR,UNION
97739,"LA PINE, OR",LA PINE,OR,DESCHUTES
97127,"LAFAYETTE, OR",LAFAYETTE,OR,YAMHILL
97034,"LAKE OSWEGO, OR",LAKE OSWEGO,OR,CLACKAMAS
97035,"LAKE OSWEGO, OR",LAKE OSWEGO,OR,CLACKAMAS
97449,"LAKESIDE, OR",LAKESIDE,OR,COOS
97630,"LAKEVIEW, OR",LAKEVIEW,OR,LAKE
97450,"LANGLOIS, OR",LANGLOIS,OR,CURRY
97355,"LEBANON, OR",LEBANON,OR,LINN
97839,"LEXINGTON, OR",LEXINGTON,OR,MORROW
97367,"LINCOLN CITY, OR",LINCOLN CITY,OR,LINCOLN
97357,"LOGSDEN, OR",LOGSDEN,OR,LINCOLN
97856,"LONG CREEK, OR",LONG CREEK,OR,GRANT
97451,"LORANE, OR",LORANE,OR,LANE
97857,"LOSTINE, OR",LOSTINE,OR,WALLOWA
97452,"LOWELL, OR",LOWELL,OR,LANE
97358,"LYONS, OR",LYONS,OR,LINN
97741,"MADRAS, OR",MADRAS,OR,JEFFERSON
97632,"MALIN, OR",MALIN,OR,KLAMATH
97125,"MANNING, OR",MANNING,OR,WASHINGTON
97130,"MANZANITA, OR",MANZANITA,OR,TILLAMOOK
97453,"MAPLETON, OR",MAPLETON,OR,LANE
97454,"MARCOLA, OR",MARCOLA,OR,LANE
97036,"MARYLHURST, OR",MARYLHURST,OR,CLACKAMAS
97037,"MAUPIN, OR",MAUPIN,OR,WASCO
97128,"MCMINNVILLE, OR",MCMINNVILLE,OR,YAMHILL
97859,"MEACHAM, OR",MEACHAM,OR,UMATILLA
97501,"MEDFORD, OR",MEDFORD,OR,JACKSON
97504,"MEDFORD, OR",MEDFORD,OR,JACKSON
97384,"MEHAMA, OR",MEHAMA,OR,MARION
97532,"MERLIN, OR",MERLIN,OR,JOSEPHINE
97633,"MERRILL, OR",MERRILL,OR,KLAMATH
97634,"MIDLAND, OR",MIDLAND,OR,KLAMATH
97861,"MIKKALO, OR",MIKKALO,OR,GILLIAM
97360,"MILL CITY, OR",MILL CITY,OR,LINN
97862,"MILTON FREEWATER, OR",MILTON FREEWATER,OR,UMATILLA
97750,"MITCHELL, OR",MITCHELL,OR,WHEELER
97038,"MOLALLA, OR",MOLALLA,OR,CLACKAMAS
97361,"MONMOUTH, OR",MONMOUTH,OR,POLK
97456,"MONROE, OR",MONROE,OR,BENTON
97864,"MONUMENT, OR",MONUMENT,OR,GRANT
97039,"MORO, OR",MORO,OR,SHERMAN
97040,"MOSIER, OR",MOSIER,OR,WASCO
97362,"MOUNT ANGEL, OR",MOUNT ANGEL,OR,MARION
97041,"MOUNT HOOD PARKDALE, OR",MOUNT HOOD PARKDALE,OR,HOOD RIVER
97865,"MOUNT VERNON, OR",MOUNT VERNON,OR,GRANT
97042,"MULINO, OR",MULINO,OR,CLACKAMAS
97533,"MURPHY, OR",MURPHY,OR,JOSEPHINE
97457,"MYRTLE CREEK, OR",MYRTLE CREEK,OR,DOUGLAS
97458,"MYRTLE POINT, OR",MYRTLE POINT,OR,COOS
97131,"NEHALEM, OR",NEHALEM,OR,TILLAMOOK
97364,"NEOTSU, OR",NEOTSU,OR,LINCOLN
97149,"NESKOWIN, OR",NESKOWIN,OR,TILLAMOOK
97143,"NETARTS, OR",NETARTS,OR,TILLAMOOK
97635,"NEW PINE CREEK, OR",NEW PINE CREEK,OR,LAKE
97132,"NEWBERG, OR",NEWBERG,OR,YAMHILL
97365,"NEWPORT, OR",NEWPORT,OR,LINCOLN
97459,"NORTH BEND, OR",NORTH BEND,OR,COOS
97133,"NORTH PLAINS, OR",NORTH PLAINS,OR,WASHINGTON
97867,"NORTH POWDER, OR",NORTH POWDER,OR,UNION
97461,"NOTI, OR",NOTI,OR,LANE
97913,"NYSSA, OR",NYSSA,OR,MALHEUR
97534,"O BRIEN, OR",O BRIEN,OR,JOSEPHINE
97462,"OAKLAND, OR",OAKLAND,OR,DOUGLAS
97463,"OAKRIDGE, OR",OAKRIDGE,OR,LANE
97134,"OCEANSIDE, OR",OCEANSIDE,OR,TILLAMOOK
97044,"ODELL, OR",ODELL,OR,HOOD RIVER
97914,"ONTARIO, OR",ONTARIO,OR,MALHEUR
97464,"OPHIR, OR",OPHIR,OR,CURRY
97045,"OREGON CITY, OR",OREGON CITY,OR,CLACKAMAS
97368,"OTIS, OR",OTIS,OR,LINCOLN
97369,"OTTER ROCK, OR",OTTER ROCK,OR,LINCOLN
97840,"OXBOW, OR",OXBOW,OR,BAKER
97135,"PACIFIC CITY, OR",PACIFIC CITY,OR,TILLAMOOK
97636,"PAISLEY, OR",PAISLEY,OR,LAKE
97801,"PENDLETON, OR",PENDLETON,OR,UMATILLA
97370,"PHILOMATH, OR",PHILOMATH,OR,BENTON
97535,"PHOENIX, OR",PHOENIX,OR,JACKSON
