Utility name,City,People served,Zip
Island City,Island City,"Population served: 1,115",97814
"North Powder, City Of",North Powder,Population served: 445,97814
"Richland, City of",Richland,Population served: 245,97814
"Sumpter, City of",Sumpter,Population served: 205,97814
Sundowner Mobile Home Park,La Grande,Population served: 160,97814
"Union, City of",Union,"Population served: 2,150",97814
"Unity, City of",Unity,Population served: 71,97814
Western Heights Water Company,Baker City,Population served: 70,97814
"Bandon, City of",Bandon,"Population served: 3,175",97411
Bridge Water District,Myrtle Point,Population served: 150,97411
Coos Bay North Bend Water Board,Coos Bay,"Population served: 34,500",97411
"Coquille, City of",Coquille,"Population served: 3,866",97411
Country Club Estates Water District,Coos Bay,Population served: 45,97411
Dean Minard Water District,Coquille,Population served: 78,97411
Garden Valley Water Association,Coquille,Population served: 30,97411
Lakeside Water District,Lakeside,"Population served: 1,800",97411
"Myrtle Point, City of",Myrtle Point,"Population served: 2,600",97411
North Bayside Estates-north,North Bend,Population served: 65,97411
North Bayside Estates-south,North Bend,Population served: 40,97411
"Powers, City of",Powers,Population served: 700,97411
Rink Creek Water District,Coquille,Population served: 286,97411
Sand-n-wood Mobile Villa,North Bend,Population served: 65,97411
Shelley Road-crest Acres Water District,Coquille,Population served: 430,97411
Weiss Estates Water System,Bandon,Population served: 36,97411
,,Population served: 0,97411
Banks Water Department,Banks,"Population served: 2,070",97106
City of Beaverton,Beaverton,"Population served: 70,000",97106
City of Cornelius,Cornelius,"Population served: 12,165",97106
City of Forest Grove,Forest Grove,"Population served: 23,080",97106
City of Hillsboro,Hillsboro,"Population served: 88,243",97106
City of Sherwood,Sherwood,"Population served: 19,505",97106
City of Tigard,Tigard,"Population served: 60,236",97106
City of Tualatin,Tualatin,"Population served: 26,879",97106
Crown Mobile Home Park,Newberg,Population served: 42,97106
Fir Grove Homeowners Association,Hillsboro,Population served: 450,97106
"Gaston, City of",Gaston,Population served: 625,97106
Hillsboro-cherry Grove,Hillsboro,"Population served: 1,456",97106
Joint Water Commission,Hillsboro,"Population served: 397,769",97106
La Water Co-op,Gaston,"Population served: 2,500",97106
Laurel Acres Water Company Inc.,Cornelius,Population served: 50,97106
Laurelwood Water Users,Gaston,Population served: 200,97106
North Plains Water Department,North Plains,"Population served: 3,095",97106
,,Population served: 0,97106
Parrett Mountain View Estates,Sherwood,Population served: 140,97106
Rainbow Ends Water System,Hillsboro,Population served: 50,97106
Raleigh Water District,Portland,"Population served: 4,500",97106
South Hills Water System,Hillsboro,Population served: 250,97106
Star Satellite Improvement District,Banks,Population served: 400,97106
Timber Water Association,Timber,Population served: 180,97106
Tualatin Valley Water District,Beaverton,"Population served: 222,000",97106
West Laurel Acres Water Company,Cornelius,Population served: 62,97106
West Slope Water District,Portland,"Population served: 10,400",97106
Westview Mobile Estates,Eugene,Population served: 250,97106
Wolsborn Farms Water District,Hillsboro,Population served: 90,97106
Canyon City Water Department,Canyon City,Population served: 705,97817
"Dayville, City of",Dayville,Population served: 150,97817
"John Day, City of",John Day,"Population served: 1,735",97817
"Long Creek, City Of",Long Creek,Population served: 195,97817
"Monument, City of",Monument,Population served: 130,97817
"Mount Vernon, City of",Mount Vernon,Population served: 509,97817
Prairie City,Prairie City,Population served: 910,97817
Sagedale Apartments,Ellensburg,Population served: 40,97817
"Seneca, City of",Seneca,Population served: 200,97817
"Tillamook Water Department, City of","Tillamook, OR","Population served:4,885",97107
Manzanita Water Department,"Manzanita, OR","Population served:3,200",97107
Rockaway Beach Water District,"Rockaway Beach, OR","Population served:2,600",97107
Netarts Water District,"Netarts, OR","Population served:1,800",97107
